awesome-ai-memory	git@github.com:topoteretes/awesome-ai-memory.git	331be5d6a630412d07ec421bad18f5b333f77e1f	ROOT	HEAD	awesome-ai-memory
cli_agents/agent-deck	git@github.com:vasic-digital/caf-agent-deck.git	4541d10fe70662e544a1cfd10759f928e862697b	ROOT	HEAD	cli_agents/agent-deck
cli_agents/aiagent	git@github.com:vasic-digital/caf-aiagent.git	eb49aa5d3f8aeb56ead32f42e8e567713ec3c13e	ROOT	HEAD	cli_agents/aiagent
cli_agents/aichat	git@github.com:vasic-digital/caf-aichat.git	82976d349ad97ac9aae0655ad631dace5e2a6385	ROOT	HEAD	cli_agents/aichat
cli_agents/aichat-llm-functions	git@github.com:vasic-digital/caf-aichat-llm-functions.git	616d8d84c5565fdb66d8782ae5ba56d994bfa82a	ROOT	HEAD	cli_agents/aichat-llm-functions
cli_agents/aider	git@github.com:vasic-digital/caf-aider.git	5dc9490bb35f9729ef2c95d00a19ccd30c26339c	ROOT	HEAD	cli_agents/aider
cli_agents/amazon-q	git@github.com:vasic-digital/caf-amazon-q.git	15cc8f3cd18c4272925ce1c7053268eedff1ea0a	ROOT	HEAD	cli_agents/amazon-q
cli_agents/bridle	git@github.com:vasic-digital/caf-bridle.git	4e7c0e375fa79e63a3a39de7a7dfd12f09fbb926	ROOT	HEAD	cli_agents/bridle
cli_agents/claude-code	git@github.com:vasic-digital/caf-claude-code.git	1c5f951a48934b8bb27532ac54b7f877fed3de12	ROOT	HEAD	cli_agents/claude-code
cli_agents/claude-code-source	git@gitlab.com:milos85vasic/ccode-private.git	c3a97942a19fdc7a548634a783cb144919313317	ROOT	HEAD	cli_agents/claude-code-source
cli_agents/claude-squad	git@github.com:vasic-digital/caf-claude-squad.git	4a02a308be98053130223e7d80f7316a9264fb97	ROOT	HEAD	cli_agents/claude-squad
cli_agents/cli-agent	git@github.com:vasic-digital/caf-cli-agent.git	fe5bec632417411d7d8701a25f4481902e9cfcb8	ROOT	HEAD	cli_agents/cli-agent
cli_agents/cline	git@github.com:vasic-digital/caf-cline.git	de987a52467465cf51b47450c42c46c3fd3b9de9	ROOT	HEAD	cli_agents/cline
cli_agents/cline/evals/cline-bench	https://github.com/cline/cline-bench.git	d1085569fb0ae3f9613957e6fc2706c6e2f7da9b	cli_agents/cline	de987a52467465cf51b47450c42c46c3fd3b9de9	evals/cline-bench
cli_agents/codai	git@github.com:vasic-digital/caf-codai.git	4949b5ccfab7312d0527235ceb4b45ca39d437df	ROOT	HEAD	cli_agents/codai
cli_agents/codename-goose	git@github.com:vasic-digital/caf-codename-goose.git	3d4574dfe4240225c6dbad8c81afe133e8facd51	ROOT	HEAD	cli_agents/codename-goose
cli_agents/codex	git@github.com:vasic-digital/caf-codex.git	a7b6baecc63519fd1d7b7be4f779217fe6c82063	ROOT	HEAD	cli_agents/codex
cli_agents/codex-skills	git@github.com:vasic-digital/caf-codex-skills.git	a8924c2a35cfa290458852c4fad17c9133054c2e	ROOT	HEAD	cli_agents/codex-skills
cli_agents/conduit	git@github.com:vasic-digital/caf-conduit.git	25766dcc59eebdb74059f90ad1df38838e58c865	ROOT	HEAD	cli_agents/conduit
cli_agents/copilot-cli	git@github.com:vasic-digital/caf-copilot-cli.git	b91eba536b4bb0a5ba3eab27853d868d641a5625	ROOT	HEAD	cli_agents/copilot-cli
cli_agents/crush	git@github.com:vasic-digital/caf-crush.git	4abf2066b1d432685e90a9b297d13153bbe3b1da	ROOT	HEAD	cli_agents/crush
cli_agents/deepseek-cli	git@github.com:vasic-digital/caf-deepseek-cli.git	db2733f7457fad42c2e819a81fb0e595b3834d33	ROOT	HEAD	cli_agents/deepseek-cli
cli_agents/deepseek-cli-youkpan	git@github.com:vasic-digital/caf-deepseek-cli-youkpan.git	fe52d00645c73f5961b871efd66a944d9dc53fea	ROOT	HEAD	cli_agents/deepseek-cli-youkpan
cli_agents/fauxpilot	git@github.com:vasic-digital/caf-fauxpilot.git	788edd44f29b3a3c33136f956c8c20d055604438	ROOT	HEAD	cli_agents/fauxpilot
cli_agents/forge	git@github.com:vasic-digital/caf-forge.git	d6c069d564d0851fa71ec597465c58f5f7b8b741	ROOT	HEAD	cli_agents/forge
