awesome-ai-memory	git@github.com:topoteretes/awesome-ai-memory.git	331be5d6a630412d07ec421bad18f5b333f77e1f	github.com	topoteretes	awesome-ai-memory	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/agent-deck	git@github.com:vasic-digital/caf-agent-deck.git	4541d10fe70662e544a1cfd10759f928e862697b	github.com	vasic-digital	caf-agent-deck	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/aiagent	git@github.com:vasic-digital/caf-aiagent.git	eb49aa5d3f8aeb56ead32f42e8e567713ec3c13e	github.com	vasic-digital	caf-aiagent	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/aichat	git@github.com:vasic-digital/caf-aichat.git	82976d349ad97ac9aae0655ad631dace5e2a6385	github.com	vasic-digital	caf-aichat	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/aichat-llm-functions	git@github.com:vasic-digital/caf-aichat-llm-functions.git	616d8d84c5565fdb66d8782ae5ba56d994bfa82a	github.com	vasic-digital	caf-aichat-llm-functions	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/aider	git@github.com:vasic-digital/caf-aider.git	5dc9490bb35f9729ef2c95d00a19ccd30c26339c	github.com	vasic-digital	caf-aider	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/amazon-q	git@github.com:vasic-digital/caf-amazon-q.git	15cc8f3cd18c4272925ce1c7053268eedff1ea0a	github.com	vasic-digital	caf-amazon-q	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/bridle	git@github.com:vasic-digital/caf-bridle.git	4e7c0e375fa79e63a3a39de7a7dfd12f09fbb926	github.com	vasic-digital	caf-bridle	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/claude-code	git@github.com:vasic-digital/caf-claude-code.git	1c5f951a48934b8bb27532ac54b7f877fed3de12	github.com	vasic-digital	caf-claude-code	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
cli_agents/claude-code-source	git@gitlab.com:milos85vasic/ccode-private.git	c3a97942a19fdc7a548634a783cb144919313317	gitlab.com	milos85vasic	ccode-private	CLONE-SAFE	ls-remote-tip-match	pin is the tip of refs/heads/main
